Ministère;Instance;Texte(s) institutif(s);Nombre de membres;Coût de fonctionnement 2012 (k€);Coût de fonctionnement 2013 (k€);Coût de fonctionnement 2014 (k€);Nombre de réunions 2012;Nombre de réunions 2013;Nombre de réunions 2014;Justification de l’évolution des coûts de fonctionnement / Observations
Écologie, développement durable et énergie;Conseil national du bruit;Articles L. 571-2 et L. 571-6 et D. 571-98 et suivants du code de l'environnement;48;7;7;27;10;10;25;Les coûts de fonctionnement correspondent à l’élaboration de guides à destination des élus et à l’organisation du concours des décibels d’or.
Écologie, développement durable et énergie;Conseil national du paysage;Arrêté du 8 décembre 2000 portant création du conseil national du paysage;37;0;0;0;0;0;0;Fusion décidée par le CIMAP du 17 juillet 2013 avec la Commission supérieure des sites, perspectives et paysages Commission renouvelée pour une année par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Conseil scientifique du patrimoine naturel et de la biodiversité;Arrêté du 26 mars 2004 portant création du conseil scientifique du patrimoine naturel et de la biodiversité;25;42;6;17.5;4;2;6;Commission renouvelée pour une année par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Conseil supérieur de l'aviation civile;Articles D. 370-1 et suivants du code de l'aviation civile;28;0;0;0;1;2;1;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Conseil supérieur de l'énergie;Loi n° 46-628 du 8 avril 1946 sur la nationalisation de l'électricité et du gaz;36;248;230;217;15;15;13;Fusion décidée par le CIMAP du 17 juillet 2013 avec le comité technique de l’électricité arrivé à échéance.
Écologie, développement durable et énergie;Conseil supérieur de la marine marchande;Loi n° 82-1153 du 30 décembre 1982 d'orientation des transports intérieurs Décret n° 2002-647 du 29 avril 2002 modifié relatif à la composition, aux attributions et à l'organisation du conseil supérieur de la marine marchande;39;8;8;8;;9;18;
Écologie, développement durable et énergie;Conseil supérieur de la météorologie;Décret n° 91-1209 du 29 novembre 1991 portant réorganisation du conseil supérieur de la météorologie;121;13.8;13;11;24;23;24;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie La baisse des coûts de fonctionnement est consécutive à la localisation du Secrétaire Permanent du CSM à Saint-Mandé depuis septembre 2013
Écologie, développement durable et énergie;Conseil supérieur de la navigation de plaisance et des sports nautiques;Décret n° 67-315 du 31 mars 1967 portant création d'un conseil supérieur de la navigation de plaisance et des sports nautiques;46;32;29;28.8;28;28;14;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Conseil supérieur de la prévention des risques technologiques;Articles L. 511-2, L. 222-7, L. 555-3, L. 555-6 et D. 510-1 et suivants du code de l'environnement;45;32;33;19;9;12;7;
Écologie, développement durable et énergie;Conseil supérieur des gens de mer;Décret n° 2007-1227 du 21 août 2007 relatif à la prévention des risques professionnels maritimes et au bien-être des gens de mer en mer et dans les ports modifié par décret n° 2011-2109 du 30 décembre 2011;60;1;13;13.8;2;3;3;
Écologie, développement durable et énergie;Grande commission nautique (GCN);Décret n° 86-606 du 14 mars 1986 relatif aux commissions nautiques;8;5;5;5;8;7;4;Commission renouvelée pour 5 ans par le décret n° 2015-622 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l’écologie, du développement durable et de l’énergie
Écologie, développement durable et énergie;Groupe d'experts sur les oiseaux et leur chasse;Articles D. 421-51 à D. 421-53 du code de l'environnement Arrêté du 15 avril 2009 relatif à la composition et au fonctionnement du groupe d'experts sur les oiseaux et leur chasse;9;20;20;5;4;4;2;
Écologie, développement durable et énergie;Groupe national de suivi des projets d'infrastructures majeurs et d'évaluation des actions engagées;Loi n° 2009-967 du 3 août 2009 de programmation relative à la mise en œuvre du Grenelle de l'environnement;0;0;0;0;0;0;0;
Écologie, développement durable et énergie;Haut comité de la qualité de service dans les transports;Décret n° 2012-211 du 14 février 2012 modifié portant création de l'autorité de la qualité de service dans les transports et du haut comité de la qualité de service dans les transports;37;0;2.52;4.78;0;2;4;
Écologie, développement durable et énergie;Haut comité pour la transparence et l'information sur la sûreté nucléaire;Loi n° 2006-686 du 13 juin 2006 relative à la transparence et à la sécurité en matière nucléaire;40;150;150;150;5;4;1;
Écologie, développement durable et énergie;Haut conseil des biotechnologies;Articles L. 531-3 et suivants et R. 531-4 et suivants du code de l’environnement;40;436;554;635;55;53;52;
Écologie, développement durable et énergie;Observatoire national sur les effets du réchauffement climatique en France métropolitaine et dans les départements et territoires d'outre-mer (conseil d'orientation);Articles L. 229-2 à L. 229-4 et D. 229-1 à D. 229-4 du code de l'environnement;26;0;1.8;0;1;1;1;
Éducation nationale, enseignement supérieur et recherche;Comité consultatif pour l'enseignement supérieur privé;Article L. 732-3 du code de l'éducation Décret n° 2014-635 du 18 juin 2014 relatif aux établissements d'enseignement supérieur privés d'intérêt général et au comité consultatif pour l'enseignement supérieur privé;14;1.8;1.5;1.4;2;1;2;
Éducation nationale, enseignement supérieur et recherche;Comité consultatif sur le traitement de l'information en matière de recherche dans le domaine de la santé;Loi n° 78-17 du 6 janvier 1978 relative à l’informatique, aux fichiers et aux libertés Décret n° 2005-1309 du 20 octobre 2005 pris pour l'application de la loi n° 78-17 du 6 janvier 1978 relative à l'informatique, aux fichiers et aux libertés;15;45.96;34.94;36.03;13;13;12;
Éducation nationale, enseignement supérieur et recherche;Comité de concertation pour les données en sciences humaines et sociales;Décret n° 2001-139 du 12 février 2001 portant création du comité de concertation pour les données en sciences humaines et sociales;10;;0;0;;0;0;
Éducation nationale, enseignement supérieur et recherche;Comité de suivi de la licence et de la licence professionnelle;Arrêté du 1er août 2011 relatif à la licence;80;9.5;26.1;20.5;1;9;7;
Éducation nationale, enseignement supérieur et recherche;Comité de suivi de la loi relative aux libertés et responsabilités des universités;Loi n° 2007-1199 du 10 août 2007 relative aux libertés et responsabilités des universités Décret n° 2008-72 du 23 janvier 2008 instituant le comité de suivi de la loi relative aux libertés et responsabilité des universités;14;11;0;0;15;0;0;
Éducation nationale, enseignement supérieur et recherche;Comité de suivi du cursus master;Arrêté du 25 avril 2002 relatif au diplôme national de master;30;5.6;5.6;5.6;7;9;7;Commission renouvelée pour une durée d'un an par le décret n° 2015-623 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l'éducation nationale, de l'enseignement supérieur et de la recherche.
Éducation nationale, enseignement supérieur et recherche;Comité stratégique du calcul intensif;Arrêté du 3 octobre 2011 portant création du comité stratégique du calcul intensif;22;4.69;6;0;6;7;0;
Éducation nationale, enseignement supérieur et recherche;Commission chargée d'émettre un avis sur les diplômes étrangers dont les titulaires demandent l'autorisation de faire usage professionnel du titre de psychologue;Décret n° 90-255 du 22 mars 1990 fixant la liste des diplômes permettant de faire usage professionnel du titre de psychologue en France Arrêté du 26 décembre 1990 fixant la composition de la commission;18;5.5;5.5;5.5;4;4;4;Commission renouvelée pour une durée de 5 ans par le décret n° 2015-623 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l'éducation nationale, de l'enseignement supérieur et de la recherche.
Éducation nationale, enseignement supérieur et recherche;Commission consultative nationale des instituts universitaires de technologie et des instituts universitaires professionnalisés;Arrêté du 19 avril 1995 relatif à la commission consultative nationale des instituts universitaires de technologie et des instituts universitaires professionnalisés;34;14.6;9.7;12.9;9;6;8;Commission renouvelée pour une durée de 5 ans par le décret n° 2015-623 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l'éducation nationale, de l'enseignement supérieur et de la recherche.
Éducation nationale, enseignement supérieur et recherche;Commission consultative pour la formation professionnelle des experts-comptables;Décret n° 2012-432 du 30 mars 2012 relatif à l'exercice de l'activité d'expertise comptable;21;1;1;1;2;1;2;
Éducation nationale, enseignement supérieur et recherche;Commission consultative restreinte pour la formation professionnelle des experts-comptables;Décret n° 2012-432 du 30 mars 2012 relatif à l'exercice de l'activité d'expertise comptable;9;0;0;0;2;1;2;
Éducation nationale, enseignement supérieur et recherche;Commission d'évaluation des formations et diplômes de gestion;Décret n° 2001-295 du 4 avril 2001 portant création de la commission d’évaluation des formations et diplômes de gestion;16;0;0;8.1;9;11;10;Commission renouvelée pour une durée de 5 ans par le décret n° 2015-623 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l'éducation nationale, de l'enseignement supérieur et de la recherche. Le coût de fonctionnement de 2014 correspond à la prise en charge des frais de déplacement des membres de la commission appartenant à la fonction publique.
Éducation nationale, enseignement supérieur et recherche;Commission des titres d'ingénieurs;Articles L. 642-3 et L. 642-4 du code de l'éducation;32;100;80.2;76.2;35;35;37;
Éducation nationale, enseignement supérieur et recherche;Commission nationale de l'expérimentation animale;Articles R. 214-130 et suivants du code rural et de la pêche maritime;21;0.8;0.8;1.2;8;4;2;Commission renouvelée pour une durée de 5 ans par le décret n° 2015-623 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l'éducation nationale, de l'enseignement supérieur et de la recherche. L’augmentation du coût de fonctionnement est due à la prise en charge d’un membre de la commission résidant en province.
Éducation nationale, enseignement supérieur et recherche;Commission nationale de labellisation des structures de transfert et de diffusion de technologies;Décret n° 2014-16 du 8 janvier 2014 portant création de la commission nationale de labellisation des structures de transfert et de diffusion de technologies;12;83.4;44.69;55.13;2;1;1;L’augmentation du coût de fonctionnement en 2014 par rapport à celui de 2013 est due à un nombre plus élevé de dossiers instruits (73 en 2014 contre 59 en 2013).
Éducation nationale, enseignement supérieur et recherche;Commission nationale des études de maïeutique, médecine, odontologie et pharmacie;Décret n° 2015-813 du 3 juillet 2015 relatif à la commission nationale des études de maïeutique, médecine, odontologie et pharmacie;;-;-;-;-;-;-;Commission créée par décret n° 2015-813 du 3 juillet 2015 relatif à la commission nationale des études de maïeutique, médecine, odontologie et pharmacie.
Éducation nationale, enseignement supérieur et recherche;Commissions pédagogiques nationales (IUT);Arrêté du 4 juin 1992 relatif à la commission consultative nationale des instituts universitaires de technologie et aux commissions pédagogiques nationales;301;90;83;61.71;126;117;87;Commission renouvelée pour une durée d'un an par le décret n° 2015-623 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l'éducation nationale, de l'enseignement supérieur et de la recherche.
Éducation nationale, enseignement supérieur et recherche;Commissions professionnelles consultatives et comité interprofessionnel consultatif institués auprès du ministre chargé de l’éducation nationale;Article L. 335-6 du code de l'éducation Décret n°2012-965 du 20 août 2012 modifié relatif aux commissions professionnelles consultatives instituées auprès du ministre chargé de l'éducation nationale Arrêté du 20 août 2012 relatif aux commissions consultatives instituées auprès du ministre chargé de l'éducation nationale;620;225.43;344.37;237.06;10;40;40;
Éducation nationale, enseignement supérieur et recherche;Conseil national d'évaluation du système scolaire;Articles L. 241-12 à L. 241-15 et D.241-36 à D.241-38 du code de l'éducation;14;0;0;110.5;;0;4;
Éducation nationale, enseignement supérieur et recherche;Conseil national de l'enseignement supérieur et de la recherche;Articles L. 232-1 et D. 232-1 et suivants du code de l’éducation;100;50;60;47.38;20;20;20;
Éducation nationale, enseignement supérieur et recherche;Conseil national de l'innovation pour la réussite éducative;Décret n° 2013-246 du 25 mars 2013 portant création du conseil national de l'innovation pour la réussite éducative;39;0;50.4;50;0;3;3;
Éducation nationale, enseignement supérieur et recherche;Conseil national de la culture scientifique, technique et industrielle;Décret n° 2012-572 du 24 avril 2012 relatif au conseil national de la culture scientifique, technique et industrielle Décret n° 2014-761 du 2 juillet 2014 portant modification du décret n° 2012-572 du 24 avril 2012 relatif au conseil national de la culture scientifique, technique et industrielle;22;10.2;5.1;0;6;3;0;
Éducation nationale, enseignement supérieur et recherche;Conseil national de la vie lycéenne;Articles D. 511-59 et suivants du code de l'éducation;33;0;7.61;4.53;0;2;2;Commission renouvelée pour une durée de 5 ans par le décret n° 2015-623 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l'éducation nationale, de l'enseignement supérieur et de la recherche.
Éducation nationale, enseignement supérieur et recherche;Conseil national des associations éducatives complémentaires de l'enseignement public;Articles D. 551-7 à D. 551-9 et D. 551-12 du code de l'éducation;25;0;0;0;5;5;5;Commission renouvelée pour une durée de 5 ans par le décret n° 2015-623 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l'éducation nationale, de l'enseignement supérieur et de la recherche.
Éducation nationale, enseignement supérieur et recherche;Conseil national des astronomes et physiciens;Décret n° 86-433 du 12 mars 1986 modifié relatif au conseil national des astronomes et des physiciens;36;27;34;35;15;17;22;
Éducation nationale, enseignement supérieur et recherche;Conseil national des universités (CNU) et Conseil national des universités pour les disciplines médicales, odontologiques et pharmaceutiques;Décret n° 92-70 du 16 janvier 1992 relatif au Conseil national des universités Arrêté du 19 mars 2010 fixant les modalités de fonctionnement du conseil national des universités Décret n°2002-1262 du 15 octobre 2002 instituant une indemnité attribuée aux membres du conseil national des universités Arrêté du 13 juillet 2010 pris pour l’application du décret n°2002-1262 du 15 octobre 2002;4283;5702;5475;5782;525;525;545;3 480 membres pour le CNU 803 membres pour le CNU santé
Éducation nationale, enseignement supérieur et recherche;Conseil national éducation économie;Décret n° 2013-539 du 25 juin 2013 portant création du conseil national éducation économie;26;0;0;0;;2;3;
Éducation nationale, enseignement supérieur et recherche;Conseil scientifique en médecine, pharmacie et odontologie;Décret n° 2004-67 du 16 janvier 2004 relatif à l’organisation du 3 ème cycle des études médicales Décret n° 2011-22 du 5 janvier 2011 relatif à l’organisation du 3ème cycle long des études odontologiques Décret n° 2012-172 du 3 février 2012 relatif au troisième cycle spécialisé des études pharmaceutiques;24;120;52;95.8;60;67;116;
Éducation nationale, enseignement supérieur et recherche;Conseil stratégique de la recherche;Article L. 120-1 du code de la recherche Décret n° 2013-943 du 21 octobre 2013 relatif au conseil stratégique de la recherche;26;0;5.68;28;;1;6;
Éducation nationale, enseignement supérieur et recherche;Conseil supérieur de l'éducation;Articles L. 231-1 et suivants et R. 231-1 et suivants du code de l'éducation;97;13.17;14.13;10.4;11;15;12;
Éducation nationale, enseignement supérieur et recherche;Conseil supérieur des programmes;Articles L. 231-14 à L. 231-17 et D.231-34 à D 231-42 du code de l'éducation;18;0;5.51;165.14;;5;159;Le nombre de réunions correspond aux 21 réunions du conseil auxquelles s’ajoutent 138 réunions des groupes d’experts.
Éducation nationale, enseignement supérieur et recherche;Haut conseil de l'éducation artistique et culturelle;Articles L. 312-8 et D. 312-7 et suivants du code de l'éducation;24;44;0.214;0;2;1;1;La modification en 2013 par décret n° 2013-783 du 28 août 2013 de la composition et du fonctionnement du Haut conseil a permis d’alléger le coût de fonctionnement de l’instance.
Éducation nationale, enseignement supérieur et recherche;Observatoire national de la sécurité et de l'accessibilité des établissements d'enseignement;Articles D. 239-25 à D.239-33 du code de l'éducation;51;9.7;9;9.4;57;56;54;Commission renouvelée pour une durée de 5 ans par le décret n° 2015-623 du 5 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de l'éducation nationale, de l'enseignement supérieur et de la recherche
Éducation nationale, enseignement supérieur et recherche;Observatoire national de la vie étudiante;Arrêté du 14 février 1989 relatif à l'observatoire de la vie étudiante;26;369.16;369.16;323.16;1;4;3;
Justice;Comité de coordination du registre du commerce et des sociétés;Articles R. 123-28 et A. 123-7 et suivants du code de commerce;8;0;0;0;10;8;7;Commission renouvelée pour une durée de 5 ans par le décret n° 2015-618 du 4 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de la justice
Justice;Comité interministériel de coordination de la santé en milieu carcéral;Articles D. 348-2 à D. 348-4 du code de procédure pénale;8;0;0;0;2;0;1;
Justice;Commission chargée d'agréer les personnes habilitées à effectuer des missions d'identification par empreintes génétiques dans le cadre de procédures judiciaires;Décret n° 97-109 du 6 février 1997 relatif aux conditions d'agrément des personnes habilitées à procéder à des identifications par empreintes génétiques dans le cadre d'une procédure judiciaire;11;1;1.12;0.6;8;8;6;Commission renouvelée pour une durée de 5 ans par le décret n° 2015-618 du 4 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de la justice
Justice;Commission de contrôle des activités de transaction et de gestion immobilières;Articles 13-5 à 13-10 de la loi n° 70-9 du 2 janvier 1970 réglementant les conditions d'exercice des activités relatives à certaines opérations portant sur les immeubles et les fonds de commerce;0;0;0;0;;0;0;
Justice;Commission de localisation des offices d'huissiers de justice;Décret n° 75-770 du 14 août 1975 relatif aux conditions d'accès à la profession d'huissier de justice ainsi qu'aux modalités des créations, transferts et suppressions d'offices d'huissier de justice et concernant certains officiers ministériels et auxiliaires de justice;8;0;0;0;5;5;4;Commission renouvelée pour une durée d'un an par le décret n° 2015-618 du 4 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de la justice
Justice;Commission de localisation des offices de notaires;Décret n° 71-942 du 26 novembre 1971 relatif aux créations, transferts et suppressions d'office de notaire, à la compétence d'instrumentation et à la résidence des notaires, à la garde et à la transmission des minutes et registres professionnels des notaires;8;0;0;0;5;5;2;Commission renouvelée pour une durée d'un an par le décret n° 2015-618 du 4 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de la justice
Justice;Commission de proposition aux offices vacants d'avocat au conseil d'État et à la Cour de cassation;Décret n° 91-1125 du 28 octobre 1991 relatif aux conditions d'accès à la profession d'avocat au Conseil d'Etat et à la Cour de cassation;4;0;0;0;0;0;0;Commission renouvelée pour une durée d'un an par le décret n° 2015-618 du 4 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de la justice
Justice;Commission de proposition de nomination aux offices créés d'huissiers de justice et de commissaires-priseurs judiciaires;Décret n° 2009-1545 du 11 décembre 2009 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de la Justice fusionnant la commission de proposition de nomination aux offices créés d'huissier de justice et celle de proposition de nomination aux offices créés de commissaires-priseurs judiciaires, instituée pour les huissiers de justice par le décret n°75-770 du 14 août 1975 relatif aux conditions d'accès à la profession d'huissier de justice ainsi qu'aux modalités des créations, transferts et suppressions d'offices d'huissier de justice et concernant certains officiers ministériels et auxiliaires de justice;5;0;0;0;0;0;0;Commission renouvelée pour une durée d'un an par le décret n° 2015-618 du 4 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de la justice
Justice;Commission de suivi de la détention provisoire;Loi n° 2000-516 du 15 juin 2000 renforçant la protection de la présomption d'innocence et les droits des victimes Décret n° 2001-709 du 31 juillet 2001 relatif à la commission de suivi de la détention provisoire et modifiant le code de procédure pénale;7;0.72;1.05;0.4;8;6;5;Les coûts de fonctionnement reposent uniquement sur les frais de déplacements des différents membres.
Justice;Commission de surveillance et de contrôle des publications destinées à l'enfance et à l'adolescence;Loi n° 49-956 du 16 juillet 1949 modifiée sur les publications destinées à la jeunesse Décret n°50-143 du 1er février 1950 portant règlement d'administration publique pour l'exécution de la loi n° 49-956 du 16 juillet 1949 sur les publications destinées à la jeunesse;30;0;0;0;4;3;4;
Justice;Commission du droit local d'Alsace-Moselle;Décret n°2014-52 du 23 janvier 2014 relatif à la commission du droit local d'Alsace-Moselle;43;0;0;0;;0;1;
Justice;Commission nationale d'indemnisation des avoués près les cours d'appel;Loi n° 2011-94 du 25 janvier 2011 portant réforme de la représentation devant les cours d'appel Décret n° 2011-361 du 1er avril 2011 relatif aux modalités de l'indemnisation prévue par la loi n° 2011-94 du 25 janvier 2011 portant réforme de la représentation devant les cours d'appel;5;1.5;0;0;16;3;0;
Justice;Commission nationale d'inscription et de discipline des administrateurs judiciaires;Articles L. 811-2 et L. 811-4 du code du commerce;13;0;0;0;3;4;5;Fusion avec la commission nationale d'inscription et de discipline des mandataires judiciaires au redressement et à la liquidation des entreprises décidée par les réunions du CIMAP des 14, 20 et 21 juin 2013. Fusion prévue par l’article 20 de loi n° 2015-177 du 16 février 2015 relative à la modernisation et à la simplification du droit et des procédures dans les domaines de la justice et des affaires intérieures.
Justice;Commission nationale d'inscription et de discipline des mandataires judiciaires au redressement et à la liquidation des entreprises;Articles L. 812-2, L. 812-2-2, L. 812-4 et R.811-29 et suivants du code de commerce;13;0;0;0;10;12;8;Fusion avec la commission nationale d'inscription et de discipline des administrateurs judiciaires décidée par les réunions du CIMAP des 14, 20 et 21 juin 2013. Fusion prévue par l’article 20 de loi n° 2015-177 du 16 février 2015 relative à la modernisation et à la simplification du droit et des procédures dans les domaines de la justice et des affaires intérieures.
Justice;Conseil national de l'aide aux victimes;Décret n° 99-706 du 3 août 1999 relatif au conseil national de l'aide aux victimes;22;0;0;0;0;0;1;Commission renouvelée pour une durée d'un an par le décret n° 2015-618 du 4 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de la justice
Justice;Conseil national de l'aide juridique;Loi n° 91-647 du 10 juillet 1991 relative à l’aide juridique Décret n° 91-1266 du 19 décembre 1991 modifié;26;0;0;0;4;5;4;
Justice;Conseil national de la transaction et de la gestion immobilières;Articles 13-1 et 13-2 de la loi n° 70-9 du 2 janvier 1970 réglementant les conditions d'exercice des activités relatives à certaines opérations portant sur les immeubles et les fonds de commerce;12;0;0;;;0;;
Justice;Conseil national des tribunaux de commerce;Articles R. 721-7 et suivants du code de commerce;20;13.1;15;15;19;16;11;Commission renouvelée pour une durée d'un an par le décret n° 2015-618 du 4 juin 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère de la justice
Justice;Conseil national du droit;Décret n° 2008-420 du 29 avril 2008 portant création du conseil national du droit Décret n° 2014-829 du 22 juillet 2014 relatif au conseil national du droit;57;0;0;0;5;0;5;
Justice;Observatoire de la récidive et de la désistance;Décret n°2014-883 du 1er août 2014 relatif à l'observatoire de la récidive et de la désistance;18;;0;0;;0;0;
Finances et comptes publics;Collège national de second examen du rescrit;Articles L.80 CB et R*80 CB-2 à R*80 CB-6 du livre des procédures fiscales;6;0;0;0;5;4;5;
Finances et comptes publics;Comité chargé de l'examen des demandes de versement d'une indemnité de fin d'activité des débitants de tabac;Décret n° 2006-471 du 24 avril 2006 portant création d'une indemnité de fin d'activité en faveur des débitants de tabac des départements frontaliers et assimilés Décret n° 2013-541 du 25 juin 2013 relatif aux indemnités de fin d'activité et à l'aide à la réinstallation en faveur des débitants de tabac;8;0;0;0;4;4;4;
Finances et comptes publics;Comité consultatif de la législation et de la réglementation financières;Articles L.614-2, D.614-2 et D.614-3 du code monétaire et financier (reproduits dans les articles L.411-2, R.411-2 et R.411-3 du code des assurances);19;0;0;0;14;17;17;
Finances et comptes publics;Comité consultatif des jeux;Loi n° 2010-476 du 12 mai 2010 relative à l'ouverture à la concurrence et à la régulation du secteur des jeux d'argent et de hasard en ligne Décret n° 2011-252 du 9 mars 2011 relatif au comité consultatif des jeux Arrêté du 1er avril 2011 pris en application du décret n° 2011-252;19;0;0;0;2;2;0;
Finances et comptes publics;Comité consultatif du secteur financier;Articles L.614-1, D.614-1 et D.614-3 du code monétaire et financier (reproduits aux articles L.411-1, R.411-2 et R.411-3 du code des assurances);32;-;107.5;219.8;-;8;8;L’augmentation des coûts de fonctionnement est imputable à des frais d’étude et de recherche. Ainsi, l’étude relative à l’éducation budgétaire et financière, commandée par le ministre des finances en 2013, a été reportée en 2014 (65.000 €). Les travaux de préparation des Assises des moyens de paiement, demandés par les ministres des finances et de l’économie en août 2014, ont nécessité le recours à un prestataire expert (82.000 €).
Finances et comptes publics;Comité d'engagement de la garantie de l'État accordée aux préfinancements et cautionnements délivrés pour la construction de navires civils;Décret n° 2006-563 du 17 mai 2006 fixant les conditions et modalités d'application de l'article 119 de la loi n° 2005-1720 du 30 décembre 2005 de finances rectificative pour 2005 relatif au régime de garantie de l'État en faveur des sociétés du secteur de la construction navale;5;0;0;0;1;1;2;Commission renouvelée pour 5 ans par le décret n° 2015-572 du 27 mai 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère des finances et des comptes publics
Finances et comptes publics;Comité de convergence des normes comptables publiques et privées;Loi n° 2001-1275 du 28 décembre 2001 de finances pour 2002 (article 136-VII);12;0;0;0;1;0;0;
Finances et comptes publics;Comité de coordination stratégique en matière de retraites de l'État;Décret n° 2009-1054 du 26 août 2009 instituant un comité de coordination stratégique en matière de retraites de l'État;18;0;0;0;3;3;3;Commission renouvelée pour 5 ans par le décret n° 2015-572 du 27 mai 2015 relatif à certaines commissions administratives à caractère consultatif relevant du ministère des finances et des comptes publics
Finances et comptes publics;Comité de l'abus de droit fiscal;Article L.64 du livre des procédures fiscales;14;12.6;12;8.7;12;14;12;La baisse du coût de fonctionnement s'explique par une diminution du nombre de dossiers examinés.
Finances et comptes publics;Comité de suivi et de propositions de la convention visant à améliorer l'accès à l'emprunt et à l'assurance des personnes présentant un risque de santé aggravé;Articles L.1141-2 et suivants du code de la santé publique (reproduits dans le code des assurances, le code de la mutualité et le code de la sécurité sociale) Loi n° 2007-131 du 31 janvier 2007 relative à l'accès au crédit des personnes présentant un risque aggravé de santé;23;0;0;0;5;3;3;
Finances et comptes publics;Comité des achats;Décret n° 2009-300 du 17 mars 2009 portant création du service des achats de l'État;15;0;0;0;11;11;11;
Finances et comptes publics;Comité des achats des établissements publics de l'État;Décret n° 2009-300 du 17 mars 2009 portant création du service des achats de l'État;10;0;0;0;0;0;0;
Finances et comptes publics;Comité du capital-investissement;Article 41 DGA de l’annexe III du code général des impôts;3;0;0;0;0;0;0;
Finances et comptes publics;Comité du contentieux fiscal, douanier et des changes;Articles 460 et suivants du code des douanes;24;28;29;26;47;49;46;
Finances et comptes publics;Comité du label;Décret n° 2009-318 du 20 mars 2009 relatif au conseil national de l'information statistique, au comité du secret statistique, et au comité du label de la statistique publique Arrêté du 2 mai 2013 relatif aux modalités d'organisation du comité du label de la statistique publique;10;0;0;0;20;23;22;
Finances et comptes publics;Comité du secret statistique;Loi n° 51-711 du 7 juin 1951 sur l'obligation, la coordination et le secret en matière de statistiques Décret n° 2009-318 du 20 mars 2009 relatif au conseil national de l'information statistique, au comité du secret statistique et au comité du label de la statistique publique;24;0;0;0;4;5;3;
Finances et comptes publics;Comité national de lutte contre la fraude;Décret n° 2008-371 du 18 avril 2008 relatif à la coordination de la lutte contre la fraude et création d'une délégation nationale;35;0;0;0;1;2;2;
Finances et comptes publics;Commission compétente pour les tarifs des évaluations foncières;Article 1652 bis du code général des impôts;9;0;0;0;0;0;0;
Finances et comptes publics;Commission consultative chargée d'émettre toutes propositions de nature à maintenir l'équilibre du régime d'allocations viagères des gérants de débits de tabac;Décret n° 63-1104 du 30 octobre 1963 relatif au régime d'allocations viagères des gérants de débits de tabac Arrêté du 13 novembre 1963 pris pour l'application du décret n° 63-1104;10;0;0;0;1;2;2;
Finances et comptes publics;Commission consultative des jeux et paris sous droits exclusifs;Loi n° 2010-476 du 12 mai 2010 relative à l'ouverture à la concurrence et à la régulation du secteur des jeux d'argent et de hasard en ligne Décret n° 2011-252 du 9 mars 2011 relatif au comité consultatif des jeux Arrêté du 6 mai 2011 pris en application du décret n° 2011-252 du 9 mars 2011 relatif au comité consultatif des jeux;11;2.11;0;1.5;7;4;9;
Finances et comptes publics;Commission consultative relative au refus d'agrément pour déduction fiscale;Article 217 undecies du code général des impôts Articles 46 quaterdecies V et 46 quaterdecies W de l’annexe III du code général des impôts;8;0;0;0;6;5;4;
